"Ecotype","Taxa","FuncGroup","Estimate","Persistence_Counterfactual","Benefit","Persistence_WithAction","ExpBenefit","ExpPersistence_WithAction","Freq"
"Freshwater","Fish","Large predators","LOWEST",24.1666666666667,20.8333333333333,45,15.5208333333333,39.6875,6
"Freshwater","Fish","Large predators","HIGHEST",66.6666666666667,22.5,89.1666666666667,16.7625,83.4291666666667,6
"Freshwater","Fish","Large predators","BEST GUESS",38.3333333333333,33.3333333333333,71.6666666666667,24.8333333333333,63.1666666666667,6
"Freshwater","Fish","Small-medium predators","LOWEST",32.5,22.5,55,16.7625,49.2625,5
"Freshwater","Fish","Small-medium predators","HIGHEST",75,16.25,91.25,12.10625,87.10625,5
"Freshwater","Fish","Small-medium predators","BEST GUESS",52.5,26.25,78.75,19.55625,72.05625,5
"Freshwater","Reptiles and amphibians","Snakes and lizards","LOWEST",56.25,5,61.25,3.725,59.975,4
"Freshwater","Reptiles and amphibians","Snakes and lizards","HIGHEST",80,8.75,88.75,6.51875,86.51875,4
"Freshwater","Reptiles and amphibians","Snakes and lizards","BEST GUESS",68.75,11.25,80,8.38125,77.13125,4
"Freshwater","Reptiles and amphibians","Frogs","LOWEST",50,11.25,61.25,8.38125,58.38125,4
"Freshwater","Reptiles and amphibians","Frogs","HIGHEST",78.75,10,88.75,7.45,86.2,4
"Freshwater","Reptiles and amphibians","Frogs","BEST GUESS",62.5,17.5,80,13.0375,75.5375,4
"Freshwater","Reptiles and amphibians","Salamanders","LOWEST",50,14,64,10.43,60.43,5
"Freshwater","Reptiles and amphibians","Salamanders","HIGHEST",78,12,90,8.94,86.94,5
"Freshwater","Reptiles and amphibians","Salamanders","BEST GUESS",62,19,81,14.155,76.155,5
"Freshwater","Birds","Carnivore","LOWEST",35,28.75,63.75,21.41875,56.41875,4
"Freshwater","Birds","Carnivore","HIGHEST",72.5,18.75,91.25,13.96875,86.46875,4
"Freshwater","Birds","Carnivore","BEST GUESS",58.75,25,83.75,18.625,77.375,4
"Freshwater","Birds","Omnivore","LOWEST",42.5,10,52.5,7.45,49.95,4
"Freshwater","Birds","Omnivore","HIGHEST",67.5,16.25,83.75,12.10625,79.60625,4
"Freshwater","Birds","Omnivore","BEST GUESS",53.75,18.75,72.5,13.96875,67.71875,4
"Freshwater","Birds","Insectivore/invertivore","LOWEST",35,25,60,18.625,53.625,3
"Freshwater","Birds","Insectivore/invertivore","HIGHEST",66.6666666666667,21.6666666666667,88.3333333333333,16.1416666666667,82.8083333333333,3
"Freshwater","Birds","Insectivore/invertivore","BEST GUESS",53.3333333333333,26.6666666666667,80,19.8666666666667,73.2,3
"Freshwater","Birds","Herbivore/granivore","LOWEST",35,5,40,3.725,38.725,4
"Freshwater","Birds","Herbivore/granivore","HIGHEST",65,5,70,3.725,68.725,4
"Freshwater","Birds","Herbivore/granivore","BEST GUESS",46.25,11.25,57.5,8.38125,54.63125,4
"Freshwater","Mammals","Carnivore, omnivore","LOWEST",41.6666666666667,18.3333333333333,60,13.6583333333333,55.325,3
"Freshwater","Mammals","Carnivore, omnivore","HIGHEST",76.6666666666667,11.6666666666667,88.3333333333333,8.69166666666667,85.3583333333333,3
"Freshwater","Mammals","Carnivore, omnivore","BEST GUESS",63.3333333333333,20,83.3333333333333,14.9,78.2333333333333,3
