"","Biodiversity","Estimate","Counterfactual","Action"
"1","Bull Trout","LOWEST",5,5
"2","Bull Trout","HIGHEST",5,5
"3","Bull Trout","BEST GUESS",5,5
"4","Rainbow Trout","LOWEST",5,5
"5","Rainbow Trout","HIGHEST",5,5
"6","Rainbow Trout","BEST GUESS",5,5
"7","Western Toad","LOWEST",5,5
"8","Western Toad","HIGHEST",5,5
"9","Western Toad","BEST GUESS",5,5
"10","Barn Swallow","LOWEST",5,5
"11","Barn Swallow","HIGHEST",5,5
"12","Barn Swallow","BEST GUESS",5,5
"13","Olive-sided Flycatcher","LOWEST",4,4
"14","Olive-sided Flycatcher","HIGHEST",4,4
"15","Olive-sided Flycatcher","BEST GUESS",4,4
"16","Common Nighthawk","LOWEST",4,4
"17","Common Nighthawk","HIGHEST",4,4
"18","Common Nighthawk","BEST GUESS",4,4
"19","Short-eared Owl","LOWEST",4,4
"20","Short-eared Owl","HIGHEST",4,4
"21","Short-eared Owl","BEST GUESS",4,4
"22","Harris's Sparrow","LOWEST",4,4
"23","Harris's Sparrow","HIGHEST",4,4
"24","Harris's Sparrow","BEST GUESS",4,4
"25","Bank Swallow","LOWEST",5,5
"26","Bank Swallow","HIGHEST",5,5
"27","Bank Swallow","BEST GUESS",5,5
"28","Rusty Blackbird","LOWEST",4,4
"29","Rusty Blackbird","HIGHEST",4,4
"30","Rusty Blackbird","BEST GUESS",4,4
"31","Northern Myotis","LOWEST",4,4
"32","Northern Myotis","HIGHEST",4,4
"33","Northern Myotis","BEST GUESS",4,4
"34","Little Brown Myotis","LOWEST",4,4
"35","Little Brown Myotis","HIGHEST",4,4
"36","Little Brown Myotis","BEST GUESS",4,4
"37","Wolverine","LOWEST",3,3
"38","Wolverine","HIGHEST",3,3
"39","Wolverine","BEST GUESS",3,3
"40","Grizzly Bear","LOWEST",3,3
"41","Grizzly Bear","HIGHEST",3,3
"42","Grizzly Bear","BEST GUESS",3,3
"43","Transverse Lady Beetle","LOWEST",3,3
"44","Transverse Lady Beetle","HIGHEST",3,3
"45","Transverse Lady Beetle","BEST GUESS",3,3
"46","Ashton (Gypsy) Cuckoo Bumble Bee","LOWEST",3,3
"47","Ashton (Gypsy) Cuckoo Bumble Bee","HIGHEST",3,3
"48","Ashton (Gypsy) Cuckoo Bumble Bee","BEST GUESS",3,3
"49","Suckley's Cuckoo Bumble Bee","LOWEST",3,3
"50","Suckley's Cuckoo Bumble Bee","HIGHEST",3,3
"51","Suckley's Cuckoo Bumble Bee","BEST GUESS",3,3
"52","Western Bumble Bee","LOWEST",3,3
"53","Western Bumble Bee","HIGHEST",3,3
"54","Western Bumble Bee","BEST GUESS",3,3
"55","Yellow-banded Bumble Bee","LOWEST",3,3
"56","Yellow-banded Bumble Bee","HIGHEST",3,3
"57","Yellow-banded Bumble Bee","BEST GUESS",3,3
"58","Porsild's Bryum","LOWEST",2,2
"59","Porsild's Bryum","HIGHEST",2,2
"60","Porsild's Bryum","BEST GUESS",2,2
"61","Evening Grosbeak","LOWEST",2,2
"62","Evening Grosbeak","HIGHEST",2,2
"63","Evening Grosbeak","BEST GUESS",2,2
