"Biodiversity","Estimate","Persistence_Counterfactual","Benefit","Persistence_WithAction","ExpBenefit","ExpPersistence_WithAction","Freq"
"Bull Trout","LOWEST",17,22,39,16.39,33.39,5
"Bull Trout","HIGHEST",55,30,85,22.35,77.35,5
"Bull Trout","BEST GUESS",31,38,69,28.31,59.31,5
"Rainbow Trout","LOWEST",12.5,22.5,35,16.7625,29.2625,5
"Rainbow Trout","HIGHEST",43.75,40,83.75,29.8,73.55,5
"Rainbow Trout","BEST GUESS",23.75,42.5,66.25,31.6625,55.4125,5
"Western Toad","LOWEST",46,13,59,9.685,55.685,5
"Western Toad","HIGHEST",80,11,91,8.195,88.195,5
"Western Toad","BEST GUESS",63,19,82,14.155,77.155,5
"Barn Swallow","LOWEST",51.25,5,56.25,3.725,54.975,5
"Barn Swallow","HIGHEST",75,12.5,87.5,9.3125,84.3125,5
"Barn Swallow","BEST GUESS",67.5,8.75,76.25,6.51875,74.01875,5
"Olive-sided Flycatcher","LOWEST",31.6666666666667,15,46.6666666666667,11.175,42.8416666666667,4
"Olive-sided Flycatcher","HIGHEST",66.6666666666667,15,81.6666666666667,11.175,77.8416666666667,4
"Olive-sided Flycatcher","BEST GUESS",50,21.6666666666667,71.6666666666667,16.1416666666667,66.1416666666667,4
"Common Nighthawk","LOWEST",35,15,50,11.175,46.175,4
"Common Nighthawk","HIGHEST",70,18.3333333333333,88.3333333333333,13.6583333333333,83.6583333333333,4
"Common Nighthawk","BEST GUESS",56.6666666666667,25,81.6666666666667,18.625,75.2916666666667,4
"Short-eared Owl","LOWEST",21.6666666666667,11.6666666666667,33.3333333333333,8.69166666666667,30.3583333333333,4
"Short-eared Owl","HIGHEST",51.6666666666667,11.6666666666667,63.3333333333333,8.69166666666667,60.3583333333333,4
"Short-eared Owl","BEST GUESS",36.6666666666667,16.6666666666667,53.3333333333333,12.4166666666667,49.0833333333333,4
"Harris's Sparrow","LOWEST",28.3333333333333,3.33333333333333,31.6666666666667,2.48333333333333,30.8166666666667,4
"Harris's Sparrow","HIGHEST",61.6666666666667,6.66666666666667,68.3333333333333,4.96666666666667,66.6333333333333,4
"Harris's Sparrow","BEST GUESS",48.3333333333333,6.66666666666667,55,4.96666666666667,53.3,4
"Bank Swallow","LOWEST",35,13.75,48.75,10.24375,45.24375,5
"Bank Swallow","HIGHEST",72.5,13.75,86.25,10.24375,82.74375,5
"Bank Swallow","BEST GUESS",58.75,20,78.75,14.9,73.65,5
"Rusty Blackbird","LOWEST",21.6666666666667,11.6666666666667,33.3333333333333,8.69166666666667,30.3583333333333,4
"Rusty Blackbird","HIGHEST",53.3333333333333,11.6666666666667,65,8.69166666666667,62.025,4
"Rusty Blackbird","BEST GUESS",38.3333333333333,16.6666666666667,55,12.4166666666667,50.75,4
"Northern Myotis","LOWEST",41.6666666666667,15,56.6666666666667,11.175,52.8416666666667,4
"Northern Myotis","HIGHEST",73.3333333333333,15,88.3333333333333,11.175,84.5083333333333,4
"Northern Myotis","BEST GUESS",60,23.3333333333333,83.3333333333333,17.3833333333333,77.3833333333333,4
"Little Brown Myotis","LOWEST",41.6666666666667,15,56.6666666666667,11.175,52.8416666666667,4
"Little Brown Myotis","HIGHEST",73.3333333333333,15,88.3333333333333,11.175,84.5083333333333,4
"Little Brown Myotis","BEST GUESS",60,23.3333333333333,83.3333333333333,17.3833333333333,77.3833333333333,4
"Wolverine","LOWEST",28.3333333333333,6.66666666666667,35,4.96666666666667,33.3,3
"Wolverine","HIGHEST",56.6666666666667,11.6666666666667,68.3333333333333,8.69166666666667,65.3583333333333,3
"Wolverine","BEST GUESS",43.3333333333333,11.6666666666667,55,8.69166666666667,52.025,3
"Grizzly Bear","LOWEST",41.6666666666667,6.66666666666667,48.3333333333333,4.96666666666667,46.6333333333333,3
"Grizzly Bear","HIGHEST",76.6666666666667,8.33333333333333,85,6.20833333333333,82.875,3
"Grizzly Bear","BEST GUESS",60,11.6666666666667,71.6666666666667,8.69166666666667,68.6916666666667,3
"Transverse Lady Beetle","LOWEST",50,0,50,0,50,3
"Transverse Lady Beetle","HIGHEST",70,0,70,0,70,3
"Transverse Lady Beetle","BEST GUESS",62.5,2.5,65,1.8625,64.3625,3
"Ashton (Gypsy) Cuckoo Bumble Bee","LOWEST",50,0,50,0,50,3
"Ashton (Gypsy) Cuckoo Bumble Bee","HIGHEST",70,0,70,0,70,3
"Ashton (Gypsy) Cuckoo Bumble Bee","BEST GUESS",62.5,0,62.5,0,62.5,3
"Suckley's Cuckoo Bumble Bee","LOWEST",50,0,50,0,50,3
"Suckley's Cuckoo Bumble Bee","HIGHEST",70,0,70,0,70,3
"Suckley's Cuckoo Bumble Bee","BEST GUESS",62.5,0,62.5,0,62.5,3
"Western Bumble Bee","LOWEST",50,0,50,0,50,3
"Western Bumble Bee","HIGHEST",70,0,70,0,70,3
"Western Bumble Bee","BEST GUESS",62.5,0,62.5,0,62.5,3
"Yellow-banded Bumble Bee","LOWEST",50,0,50,0,50,3
"Yellow-banded Bumble Bee","HIGHEST",70,0,70,0,70,3
"Yellow-banded Bumble Bee","BEST GUESS",62.5,2.5,65,1.8625,64.3625,3
"Porsild's Bryum","LOWEST",57.5,5,62.5,3.725,61.225,2
"Porsild's Bryum","HIGHEST",77.5,5,82.5,3.725,81.225,2
"Porsild's Bryum","BEST GUESS",72.5,5,77.5,3.725,76.225,2
"Evening Grosbeak","LOWEST",37.5,22.5,60,16.7625,54.2625,2
"Evening Grosbeak","HIGHEST",75,17.5,92.5,13.0375,88.0375,2
"Evening Grosbeak","BEST GUESS",57.5,30,87.5,22.35,79.85,2
