"Expert","Biodiversity","Estimate","Counterfactual","Action","Rating","Comments"
1,"Freshwater","LOWEST",NA,NA,"1",NA
1,"Freshwater","HIGHEST",NA,NA,NA,NA
1,"Freshwater","BEST GUESS",NA,NA,NA,NA
1,"Wetland","LOWEST","70","80","6","These communities are fairly robust and so can rebound from disturbance to some degree. However, I do believe the actions taken will be beneficial."
1,"Wetland","HIGHEST","80","90",NA,NA
1,"Wetland","BEST GUESS","75","85",NA,NA
1,"Coniferous Forest","LOWEST","70","80","6","These communities are fairly robust and so can rebound from disturbance to some degree. However, I do believe the actions taken will be beneficial."
1,"Coniferous Forest","HIGHEST","80","90",NA,NA
1,"Coniferous Forest","BEST GUESS","75","85",NA,NA
1,"Mixed Forest","LOWEST","70","80","6","These communities are fairly robust and so can rebound from disturbance to some degree. However, I do believe the actions taken will be beneficial."
1,"Mixed Forest","HIGHEST","80","90",NA,NA
1,"Mixed Forest","BEST GUESS","75","85",NA,NA
2,"Freshwater","LOWEST","25","50","4","Assuming that OHV users use the new infrasturcture, the new crossings should result in improvements to the local and downstream freshwater habitat."
2,"Freshwater","HIGHEST","75","85",NA,NA
2,"Freshwater","BEST GUESS","50","75",NA,NA
2,"Wetland","LOWEST","25","50","4","Assuming that OHV users use the new infrasturcture, the new crossings should result in improvements to the local and downstream wetland habitat."
2,"Wetland","HIGHEST","75","85",NA,NA
2,"Wetland","BEST GUESS","50","75",NA,NA
2,"Coniferous Forest","LOWEST","75","75","4","I don't suspect updating crossing infrastrucure will have long-term impacts on this ecotype."
2,"Coniferous Forest","HIGHEST","100","100",NA,NA
2,"Coniferous Forest","BEST GUESS","85","85",NA,NA
2,"Mixed Forest","LOWEST","75","75","4","I don't suspect updating crossing infrastrucure will have long-term impacts on this ecotype."
2,"Mixed Forest","HIGHEST","100","100",NA,NA
2,"Mixed Forest","BEST GUESS","85","85",NA,NA
3,"Freshwater","LOWEST","30","40","5",NA
3,"Freshwater","HIGHEST","60","85",NA,NA
3,"Freshwater","BEST GUESS","50","75",NA,NA
3,"Wetland","LOWEST",NA,NA,"X",NA
3,"Wetland","HIGHEST",NA,NA,NA,NA
3,"Wetland","BEST GUESS",NA,NA,NA,NA
3,"Coniferous Forest","LOWEST",NA,NA,"X",NA
3,"Coniferous Forest","HIGHEST",NA,NA,NA,NA
3,"Coniferous Forest","BEST GUESS",NA,NA,NA,NA
3,"Mixed Forest","LOWEST",NA,NA,"X",NA
3,"Mixed Forest","HIGHEST",NA,NA,NA,NA
3,"Mixed Forest","BEST GUESS",NA,NA,NA,NA
4,"Freshwater","LOWEST","25","50","8","If the Bull Trout are lost, the functioning of this ecotype is lost. Bulls are the only fish here."
4,"Freshwater","HIGHEST","75","85",NA,NA
4,"Freshwater","BEST GUESS","50","75",NA,NA
4,"Wetland","LOWEST",NA,NA,"4",NA
4,"Wetland","HIGHEST",NA,NA,NA,NA
4,"Wetland","BEST GUESS",NA,NA,NA,NA
4,"Coniferous Forest","LOWEST",NA,NA,"4",NA
4,"Coniferous Forest","HIGHEST",NA,NA,NA,NA
4,"Coniferous Forest","BEST GUESS",NA,NA,NA,NA
4,"Mixed Forest","LOWEST",NA,NA,"4",NA
4,"Mixed Forest","HIGHEST",NA,NA,NA,NA
4,"Mixed Forest","BEST GUESS",NA,NA,NA,NA
5,"Freshwater","LOWEST","50","50","modest (but on prairie)","As it is the focus of the project I think the river will benefit most. As with my previous notes I think there are many variables that are not controllable. I think this project is a positive one, and one that I am supportive of but I am cautiously optimistic."
5,"Freshwater","HIGHEST","90","100",NA,NA
5,"Freshwater","BEST GUESS","70","90",NA,NA
5,"Wetland","LOWEST","50","50","modest (but on prairie)","Wetlands should benefit from reduced turbidity. "
5,"Wetland","HIGHEST","90","100",NA,NA
5,"Wetland","BEST GUESS","70","90",NA,NA
5,"Coniferous Forest","LOWEST",NA,NA,"low","It seems unlikely to me that this project will have a decernable impact to these systems at this scale"
5,"Coniferous Forest","HIGHEST",NA,NA,NA,NA
5,"Coniferous Forest","BEST GUESS",NA,NA,NA,NA
