"Expert","Biodiversity","Estimate","Scenario","Value"
"1","Freshwater","LOWEST","Counterfactual",NA
"1","Freshwater","HIGHEST","Counterfactual",NA
"1","Freshwater","BEST GUESS","Counterfactual",NA
"1","Wetland","LOWEST","Counterfactual",70
"1","Wetland","HIGHEST","Counterfactual",80
"1","Wetland","BEST GUESS","Counterfactual",75
"1","Coniferous Forest","LOWEST","Counterfactual",70
"1","Coniferous Forest","HIGHEST","Counterfactual",80
"1","Coniferous Forest","BEST GUESS","Counterfactual",75
"1","Mixed Forest","LOWEST","Counterfactual",70
"1","Mixed Forest","HIGHEST","Counterfactual",80
"1","Mixed Forest","BEST GUESS","Counterfactual",75
"2","Freshwater","LOWEST","Counterfactual",25
"2","Freshwater","HIGHEST","Counterfactual",75
"2","Freshwater","BEST GUESS","Counterfactual",50
"2","Wetland","LOWEST","Counterfactual",25
"2","Wetland","HIGHEST","Counterfactual",75
"2","Wetland","BEST GUESS","Counterfactual",50
"2","Coniferous Forest","LOWEST","Counterfactual",75
"2","Coniferous Forest","HIGHEST","Counterfactual",100
"2","Coniferous Forest","BEST GUESS","Counterfactual",85
"2","Mixed Forest","LOWEST","Counterfactual",75
"2","Mixed Forest","HIGHEST","Counterfactual",100
"2","Mixed Forest","BEST GUESS","Counterfactual",85
"3","Freshwater","LOWEST","Counterfactual",30
"3","Freshwater","HIGHEST","Counterfactual",60
"3","Freshwater","BEST GUESS","Counterfactual",50
"3","Wetland","LOWEST","Counterfactual",NA
"3","Wetland","HIGHEST","Counterfactual",NA
"3","Wetland","BEST GUESS","Counterfactual",NA
"3","Coniferous Forest","LOWEST","Counterfactual",NA
"3","Coniferous Forest","HIGHEST","Counterfactual",NA
"3","Coniferous Forest","BEST GUESS","Counterfactual",NA
"3","Mixed Forest","LOWEST","Counterfactual",NA
"3","Mixed Forest","HIGHEST","Counterfactual",NA
"3","Mixed Forest","BEST GUESS","Counterfactual",NA
"4","Freshwater","LOWEST","Counterfactual",25
"4","Freshwater","HIGHEST","Counterfactual",75
"4","Freshwater","BEST GUESS","Counterfactual",50
"4","Wetland","LOWEST","Counterfactual",NA
"4","Wetland","HIGHEST","Counterfactual",NA
"4","Wetland","BEST GUESS","Counterfactual",NA
"4","Coniferous Forest","LOWEST","Counterfactual",NA
"4","Coniferous Forest","HIGHEST","Counterfactual",NA
"4","Coniferous Forest","BEST GUESS","Counterfactual",NA
"4","Mixed Forest","LOWEST","Counterfactual",NA
"4","Mixed Forest","HIGHEST","Counterfactual",NA
"4","Mixed Forest","BEST GUESS","Counterfactual",NA
"5","Freshwater","LOWEST","Counterfactual",50
"5","Freshwater","HIGHEST","Counterfactual",90
"5","Freshwater","BEST GUESS","Counterfactual",70
"5","Wetland","LOWEST","Counterfactual",50
"5","Wetland","HIGHEST","Counterfactual",90
"5","Wetland","BEST GUESS","Counterfactual",70
"5","Coniferous Forest","LOWEST","Counterfactual",NA
"5","Coniferous Forest","HIGHEST","Counterfactual",NA
"5","Coniferous Forest","BEST GUESS","Counterfactual",NA
"5","Mixed Forest","LOWEST","Counterfactual",NA
"5","Mixed Forest","HIGHEST","Counterfactual",NA
"5","Mixed Forest","BEST GUESS","Counterfactual",NA
"6","Freshwater","LOWEST","Counterfactual",25
"6","Freshwater","HIGHEST","Counterfactual",85
"6","Freshwater","BEST GUESS","Counterfactual",65
"6","Wetland","LOWEST","Counterfactual",50
"6","Wetland","HIGHEST","Counterfactual",95
