"Expert","Biodiversity","Estimate","Counterfactual","Action","Rating","Comments"
1,"Freshwater
Fish
Large predators","LOWEST",NA,NA,NA,NA
1,"Freshwater
Fish
Large predators","HIGHEST",NA,NA,NA,NA
1,"Freshwater
Fish
Large predators","BEST GUESS",NA,NA,NA,NA
1,"Freshwater
Fish
Small-medium predators","LOWEST",NA,NA,NA,NA
1,"Freshwater
Fish
Small-medium predators","HIGHEST",NA,NA,NA,NA
1,"Freshwater
Fish
Small-medium predators","BEST GUESS",NA,NA,NA,NA
1,"Freshwater
Reptiles and amphibians
Snakes and lizards","LOWEST",NA,NA,NA,NA
1,"Freshwater
Reptiles and amphibians
Snakes and lizards","HIGHEST",NA,NA,NA,NA
1,"Freshwater
Reptiles and amphibians
Snakes and lizards","BEST GUESS",NA,NA,NA,NA
1,"Freshwater
Reptiles and amphibians
Frogs","LOWEST",NA,NA,NA,NA
1,"Freshwater
Reptiles and amphibians
Frogs","HIGHEST",NA,NA,NA,NA
1,"Freshwater
Reptiles and amphibians
Frogs","BEST GUESS",NA,NA,NA,NA
1,"Freshwater
Reptiles and amphibians
Salamanders","LOWEST",NA,NA,NA,NA
1,"Freshwater
Reptiles and amphibians
Salamanders","HIGHEST",NA,NA,NA,NA
1,"Freshwater
Reptiles and amphibians
Salamanders","BEST GUESS",NA,NA,NA,NA
1,"Freshwater
Birds
Carnivore","LOWEST",NA,NA,NA,NA
1,"Freshwater
Birds
Carnivore","HIGHEST",NA,NA,NA,NA
1,"Freshwater
Birds
Carnivore","BEST GUESS",NA,NA,NA,NA
1,"Freshwater
Birds
Omnivore","LOWEST",NA,NA,NA,NA
1,"Freshwater
Birds
Omnivore","HIGHEST",NA,NA,NA,NA
1,"Freshwater
Birds
Omnivore","BEST GUESS",NA,NA,NA,NA
1,"Freshwater
Birds
Insectivore/invertivore","LOWEST",NA,NA,NA,NA
1,"Freshwater
Birds
Insectivore/invertivore","HIGHEST",NA,NA,NA,NA
1,"Freshwater
Birds
Insectivore/invertivore","BEST GUESS",NA,NA,NA,NA
1,"Freshwater
Birds
Herbivore/granivore","LOWEST",NA,NA,NA,NA
1,"Freshwater
Birds
Herbivore/granivore","HIGHEST",NA,NA,NA,NA
1,"Freshwater
Birds
Herbivore/granivore","BEST GUESS",NA,NA,NA,NA
1,"Freshwater
Mammals
Carnivore, omnivore","LOWEST",NA,NA,NA,NA
1,"Freshwater
Mammals
Carnivore, omnivore","HIGHEST",NA,NA,NA,NA
1,"Freshwater
Mammals
Carnivore, omnivore","BEST GUESS",NA,NA,NA,NA
1,"Freshwater
Mammals
Herbivore","LOWEST",NA,NA,NA,NA
1,"Freshwater
Mammals
Herbivore","HIGHEST",NA,NA,NA,NA
1,"Freshwater
Mammals
Herbivore","BEST GUESS",NA,NA,NA,NA
1,"Freshwater
Vascular plants
Herbaceous","LOWEST","70","80","6","These communities are fairly robust and so can rebound from disturbance to some degree. However, I do believe the actions taken will be beneficial."
1,"Freshwater
Vascular plants
Herbaceous","HIGHEST","80","90",NA,NA
1,"Freshwater
Vascular plants
Herbaceous","BEST GUESS","75","85",NA,NA
1,"Freshwater
Vascular plants
Woody","LOWEST","70","80","6","These communities are fairly robust and so can rebound from disturbance to some degree. However, I do believe the actions taken will be beneficial."
1,"Freshwater
Vascular plants
Woody","HIGHEST","80","90",NA,NA
1,"Freshwater
Vascular plants
Woody","BEST GUESS","75","85",NA,NA
1,"Wetland
Fish
Large predators","LOWEST",NA,NA,NA,NA
1,"Wetland
Fish
Large predators","HIGHEST",NA,NA,NA,NA
1,"Wetland
Fish
Large predators","BEST GUESS",NA,NA,NA,NA
1,"Wetland
Fish
Small-medium predators","LOWEST",NA,NA,NA,NA
1,"Wetland
Fish
Small-medium predators","HIGHEST",NA,NA,NA,NA
1,"Wetland
Fish
Small-medium predators","BEST GUESS",NA,NA,NA,NA
1,"Wetland
Reptiles and amphibians
Snakes and lizards","LOWEST",NA,NA,NA,NA
1,"Wetland
Reptiles and amphibians
Snakes and lizards","HIGHEST",NA,NA,NA,NA
1,"Wetland
Reptiles and amphibians
Snakes and lizards","BEST GUESS",NA,NA,NA,NA
1,"Wetland
Reptiles and amphibians
Frogs","LOWEST",NA,NA,NA,NA
1,"Wetland
Reptiles and amphibians
Frogs","HIGHEST",NA,NA,NA,NA
1,"Wetland
Reptiles and amphibians
Frogs","BEST GUESS",NA,NA,NA,NA
1,"Wetland
Reptiles and amphibians
Salamanders","LOWEST",NA,NA,NA,NA
1,"Wetland
Reptiles and amphibians
Salamanders","HIGHEST",NA,NA,NA,NA
1,"Wetland
Reptiles and amphibians
Salamanders","BEST GUESS",NA,NA,NA,NA
1,"Wetland
Birds
Carnivore","LOWEST",NA,NA,NA,NA
1,"Wetland
Birds
Carnivore","HIGHEST",NA,NA,NA,NA
1,"Wetland
Birds
Carnivore","BEST GUESS",NA,NA,NA,NA
1,"Wetland
Birds
Omnivore","LOWEST",NA,NA,NA,NA
1,"Wetland
Birds
Omnivore","HIGHEST",NA,NA,NA,NA
1,"Wetland
Birds
Omnivore","BEST GUESS",NA,NA,NA,NA
1,"Wetland
Birds
Insectivore/invertivore","LOWEST",NA,NA,NA,NA
1,"Wetland
Birds
Insectivore/invertivore","HIGHEST",NA,NA,NA,NA
1,"Wetland
Birds
Insectivore/invertivore","BEST GUESS",NA,NA,NA,NA
1,"Wetland
Birds
Herbivore/granivore","LOWEST",NA,NA,NA,NA
1,"Wetland
Birds
Herbivore/granivore","HIGHEST",NA,NA,NA,NA
1,"Wetland
Birds
Herbivore/granivore","BEST GUESS",NA,NA,NA,NA
