"Expert","Biodiversity","Estimate","Scenario","Value"
"1","Freshwater
Fish
Large predators","LOWEST","Counterfactual",NA
"1","Freshwater
Fish
Large predators","HIGHEST","Counterfactual",NA
"1","Freshwater
Fish
Large predators","BEST GUESS","Counterfactual",NA
"1","Freshwater
Fish
Small-medium predators","LOWEST","Counterfactual",NA
"1","Freshwater
Fish
Small-medium predators","HIGHEST","Counterfactual",NA
"1","Freshwater
Fish
Small-medium predators","BEST GUESS","Counterfactual",NA
"1","Freshwater
Reptiles and amphibians
Snakes and lizards","LOWEST","Counterfactual",NA
"1","Freshwater
Reptiles and amphibians
Snakes and lizards","HIGHEST","Counterfactual",NA
"1","Freshwater
Reptiles and amphibians
Snakes and lizards","BEST GUESS","Counterfactual",NA
"1","Freshwater
Reptiles and amphibians
Frogs","LOWEST","Counterfactual",NA
"1","Freshwater
Reptiles and amphibians
Frogs","HIGHEST","Counterfactual",NA
"1","Freshwater
Reptiles and amphibians
Frogs","BEST GUESS","Counterfactual",NA
"1","Freshwater
Reptiles and amphibians
Salamanders","LOWEST","Counterfactual",NA
"1","Freshwater
Reptiles and amphibians
Salamanders","HIGHEST","Counterfactual",NA
"1","Freshwater
Reptiles and amphibians
Salamanders","BEST GUESS","Counterfactual",NA
"1","Freshwater
Birds
Carnivore","LOWEST","Counterfactual",NA
"1","Freshwater
Birds
Carnivore","HIGHEST","Counterfactual",NA
"1","Freshwater
Birds
Carnivore","BEST GUESS","Counterfactual",NA
"1","Freshwater
Birds
Omnivore","LOWEST","Counterfactual",NA
"1","Freshwater
Birds
Omnivore","HIGHEST","Counterfactual",NA
"1","Freshwater
Birds
Omnivore","BEST GUESS","Counterfactual",NA
"1","Freshwater
Birds
Insectivore/invertivore","LOWEST","Counterfactual",NA
"1","Freshwater
Birds
Insectivore/invertivore","HIGHEST","Counterfactual",NA
"1","Freshwater
Birds
Insectivore/invertivore","BEST GUESS","Counterfactual",NA
"1","Freshwater
Birds
Herbivore/granivore","LOWEST","Counterfactual",NA
"1","Freshwater
Birds
Herbivore/granivore","HIGHEST","Counterfactual",NA
"1","Freshwater
Birds
Herbivore/granivore","BEST GUESS","Counterfactual",NA
"1","Freshwater
Mammals
Carnivore, omnivore","LOWEST","Counterfactual",NA
"1","Freshwater
Mammals
Carnivore, omnivore","HIGHEST","Counterfactual",NA
"1","Freshwater
Mammals
Carnivore, omnivore","BEST GUESS","Counterfactual",NA
"1","Freshwater
Mammals
Herbivore","LOWEST","Counterfactual",NA
"1","Freshwater
Mammals
Herbivore","HIGHEST","Counterfactual",NA
"1","Freshwater
Mammals
Herbivore","BEST GUESS","Counterfactual",NA
"1","Freshwater
Vascular plants
Herbaceous","LOWEST","Counterfactual","70"
"1","Freshwater
Vascular plants
Herbaceous","HIGHEST","Counterfactual","80"
"1","Freshwater
Vascular plants
Herbaceous","BEST GUESS","Counterfactual","75"
"1","Freshwater
Vascular plants
Woody","LOWEST","Counterfactual","70"
"1","Freshwater
Vascular plants
Woody","HIGHEST","Counterfactual","80"
"1","Freshwater
Vascular plants
Woody","BEST GUESS","Counterfactual","75"
"1","Wetland
Fish
Large predators","LOWEST","Counterfactual",NA
"1","Wetland
Fish
Large predators","HIGHEST","Counterfactual",NA
"1","Wetland
Fish
Large predators","BEST GUESS","Counterfactual",NA
"1","Wetland
Fish
Small-medium predators","LOWEST","Counterfactual",NA
"1","Wetland
Fish
Small-medium predators","HIGHEST","Counterfactual",NA
"1","Wetland
Fish
Small-medium predators","BEST GUESS","Counterfactual",NA
"1","Wetland
Reptiles and amphibians
Snakes and lizards","LOWEST","Counterfactual",NA
"1","Wetland
Reptiles and amphibians
Snakes and lizards","HIGHEST","Counterfactual",NA
"1","Wetland
Reptiles and amphibians
Snakes and lizards","BEST GUESS","Counterfactual",NA
"1","Wetland
Reptiles and amphibians
Frogs","LOWEST","Counterfactual",NA
"1","Wetland
Reptiles and amphibians
Frogs","HIGHEST","Counterfactual",NA
"1","Wetland
Reptiles and amphibians
Frogs","BEST GUESS","Counterfactual",NA
"1","Wetland
Reptiles and amphibians
Salamanders","LOWEST","Counterfactual",NA
"1","Wetland
Reptiles and amphibians
Salamanders","HIGHEST","Counterfactual",NA
"1","Wetland
Reptiles and amphibians
Salamanders","BEST GUESS","Counterfactual",NA
"1","Wetland
Birds
Carnivore","LOWEST","Counterfactual",NA
"1","Wetland
Birds
Carnivore","HIGHEST","Counterfactual",NA
"1","Wetland
Birds
Carnivore","BEST GUESS","Counterfactual",NA
"1","Wetland
Birds
Omnivore","LOWEST","Counterfactual",NA
"1","Wetland
Birds
Omnivore","HIGHEST","Counterfactual",NA
"1","Wetland
Birds
Omnivore","BEST GUESS","Counterfactual",NA
"1","Wetland
Birds
Insectivore/invertivore","LOWEST","Counterfactual",NA
"1","Wetland
Birds
Insectivore/invertivore","HIGHEST","Counterfactual",NA
"1","Wetland
Birds
Insectivore/invertivore","BEST GUESS","Counterfactual",NA
"1","Wetland
Birds
Herbivore/granivore","LOWEST","Counterfactual",NA
"1","Wetland
Birds
Herbivore/granivore","HIGHEST","Counterfactual",NA
"1","Wetland
Birds
Herbivore/granivore","BEST GUESS","Counterfactual",NA
"1","Wetland
Mammals
Carnivore, omnivore","LOWEST","Counterfactual",NA
"1","Wetland
Mammals
Carnivore, omnivore","HIGHEST","Counterfactual",NA
"1","Wetland
Mammals
Carnivore, omnivore","BEST GUESS","Counterfactual",NA
"1","Wetland
Mammals
Herbivore","LOWEST","Counterfactual",NA
"1","Wetland
Mammals
Herbivore","HIGHEST","Counterfactual",NA
"1","Wetland
Mammals
Herbivore","BEST GUESS","Counterfactual",NA
"1","Wetland
Vascular plants
Herbaceous","LOWEST","Counterfactual","70"
"1","Wetland
Vascular plants
Herbaceous","HIGHEST","Counterfactual","80"
"1","Wetland
Vascular plants
Herbaceous","BEST GUESS","Counterfactual","75"
"1","Wetland
Vascular plants
Woody","LOWEST","Counterfactual","70"
"1","Wetland
Vascular plants
Woody","HIGHEST","Counterfactual","80"
"1","Wetland
Vascular plants
Woody","BEST GUESS","Counterfactual","75"
"1","Coniferous Forest
Reptiles and amphibians
Snakes and lizards","LOWEST","Counterfactual",NA
"1","Coniferous Forest
Reptiles and amphibians
Snakes and lizards","HIGHEST","Counterfactual",NA
"1","Coniferous Forest
Reptiles and amphibians
Snakes and lizards","BEST GUESS","Counterfactual",NA
"1","Coniferous Forest
Reptiles and amphibians
Frogs","LOWEST","Counterfactual",NA
"1","Coniferous Forest
Reptiles and amphibians
Frogs","HIGHEST","Counterfactual",NA
"1","Coniferous Forest
Reptiles and amphibians
Frogs","BEST GUESS","Counterfactual",NA
"1","Coniferous Forest
Reptiles and amphibians
Salamanders","LOWEST","Counterfactual",NA
"1","Coniferous Forest
Reptiles and amphibians
Salamanders","HIGHEST","Counterfactual",NA
"1","Coniferous Forest
Reptiles and amphibians
Salamanders","BEST GUESS","Counterfactual",NA
"1","Coniferous Forest
Birds
Carnivore","LOWEST","Counterfactual",NA
"1","Coniferous Forest
Birds
Carnivore","HIGHEST","Counterfactual",NA
"1","Coniferous Forest
Birds
Carnivore","BEST GUESS","Counterfactual",NA
"1","Coniferous Forest
Birds
Omnivore","LOWEST","Counterfactual",NA
"1","Coniferous Forest
Birds
Omnivore","HIGHEST","Counterfactual",NA
"1","Coniferous Forest
Birds
Omnivore","BEST GUESS","Counterfactual",NA
"1","Coniferous Forest
Birds
Insectivore/invertivore","LOWEST","Counterfactual",NA
"1","Coniferous Forest
Birds
Insectivore/invertivore","HIGHEST","Counterfactual",NA
"1","Coniferous Forest
Birds
Insectivore/invertivore","BEST GUESS","Counterfactual",NA
"1","Coniferous Forest
Birds
Herbivore/granivore","LOWEST","Counterfactual",NA
"1","Coniferous Forest
Birds
Herbivore/granivore","HIGHEST","Counterfactual",NA
"1","Coniferous Forest
Birds
Herbivore/granivore","BEST GUESS","Counterfactual",NA
"1","Coniferous Forest
Mammals
Carnivore, omnivore","LOWEST","Counterfactual",NA
"1","Coniferous Forest
Mammals
Carnivore, omnivore","HIGHEST","Counterfactual",NA
"1","Coniferous Forest
Mammals
Carnivore, omnivore","BEST GUESS","Counterfactual",NA
"1","Coniferous Forest
Mammals
Herbivore","LOWEST","Counterfactual",NA
"1","Coniferous Forest
Mammals
Herbivore","HIGHEST","Counterfactual",NA
"1","Coniferous Forest
Mammals
Herbivore","BEST GUESS","Counterfactual",NA
"1","Coniferous Forest
Vascular plants
Herbaceous","LOWEST","Counterfactual","70"
"1","Coniferous Forest
Vascular plants
Herbaceous","HIGHEST","Counterfactual","80"
"1","Coniferous Forest
Vascular plants
Herbaceous","BEST GUESS","Counterfactual","75"
"1","Coniferous Forest
Vascular plants
Woody","LOWEST","Counterfactual","70"
"1","Coniferous Forest
Vascular plants
Woody","HIGHEST","Counterfactual","80"
"1","Coniferous Forest
Vascular plants
Woody","BEST GUESS","Counterfactual","75"
"1","Mixed Forest
Reptiles and amphibians
Snakes and lizards","LOWEST","Counterfactual",NA
"1","Mixed Forest
Reptiles and amphibians
Snakes and lizards","HIGHEST","Counterfactual",NA
"1","Mixed Forest
Reptiles and amphibians
Snakes and lizards","BEST GUESS","Counterfactual",NA
"1","Mixed Forest
Reptiles and amphibians
Frogs","LOWEST","Counterfactual",NA
"1","Mixed Forest
Reptiles and amphibians
Frogs","HIGHEST","Counterfactual",NA
"1","Mixed Forest
Reptiles and amphibians
Frogs","BEST GUESS","Counterfactual",NA
"1","Mixed Forest
Reptiles and amphibians
Salamanders","LOWEST","Counterfactual",NA
"1","Mixed Forest
Reptiles and amphibians
Salamanders","HIGHEST","Counterfactual",NA
"1","Mixed Forest
Reptiles and amphibians
Salamanders","BEST GUESS","Counterfactual",NA
"1","Mixed Forest
Birds
Carnivore","LOWEST","Counterfactual",NA
"1","Mixed Forest
Birds
Carnivore","HIGHEST","Counterfactual",NA
"1","Mixed Forest
Birds
Carnivore","BEST GUESS","Counterfactual",NA
"1","Mixed Forest
Birds
Omnivore","LOWEST","Counterfactual",NA
"1","Mixed Forest
Birds
Omnivore","HIGHEST","Counterfactual",NA
"1","Mixed Forest
Birds
Omnivore","BEST GUESS","Counterfactual",NA
"1","Mixed Forest
Birds
Insectivore/invertivore","LOWEST","Counterfactual",NA
"1","Mixed Forest
Birds
Insectivore/invertivore","HIGHEST","Counterfactual",NA
"1","Mixed Forest
Birds
Insectivore/invertivore","BEST GUESS","Counterfactual",NA
"1","Mixed Forest
Birds
Herbivore/granivore","LOWEST","Counterfactual",NA
"1","Mixed Forest
Birds
Herbivore/granivore","HIGHEST","Counterfactual",NA
"1","Mixed Forest
Birds
Herbivore/granivore","BEST GUESS","Counterfactual",NA
"1","Mixed Forest
Mammals
Carnivore, omnivore","LOWEST","Counterfactual",NA
"1","Mixed Forest
Mammals
Carnivore, omnivore","HIGHEST","Counterfactual",NA
"1","Mixed Forest
Mammals
Carnivore, omnivore","BEST GUESS","Counterfactual",NA
"1","Mixed Forest
Mammals
Herbivore","LOWEST","Counterfactual",NA
"1","Mixed Forest
Mammals
Herbivore","HIGHEST","Counterfactual",NA
"1","Mixed Forest
Mammals
Herbivore","BEST GUESS","Counterfactual",NA
"1","Mixed Forest
Vascular plants
Herbaceous","LOWEST","Counterfactual","70"
"1","Mixed Forest
Vascular plants
Herbaceous","HIGHEST","Counterfactual","80"
"1","Mixed Forest
Vascular plants
Herbaceous","BEST GUESS","Counterfactual","75"
"1","Mixed Forest
Vascular plants
Woody","LOWEST","Counterfactual","70"
"1","Mixed Forest
Vascular plants
Woody","HIGHEST","Counterfactual","80"
"1","Mixed Forest
Vascular plants
Woody","BEST GUESS","Counterfactual","75"
"2","Freshwater
Fish
Large predators","LOWEST","Counterfactual","25"
"2","Freshwater
Fish
Large predators","HIGHEST","Counterfactual","75"
"2","Freshwater
Fish
Large predators","BEST GUESS","Counterfactual","50"
"2","Freshwater
Fish
Small-medium predators","LOWEST","Counterfactual","25"
"2","Freshwater
Fish
Small-medium predators","HIGHEST","Counterfactual","75"
"2","Freshwater
Fish
Small-medium predators","BEST GUESS","Counterfactual","50"
"2","Freshwater
Reptiles and amphibians
Snakes and lizards","LOWEST","Counterfactual","50"
"2","Freshwater
Reptiles and amphibians
Snakes and lizards","HIGHEST","Counterfactual","80"
"2","Freshwater
Reptiles and amphibians
Snakes and lizards","BEST GUESS","Counterfactual","75"
"2","Freshwater
Reptiles and amphibians
Frogs","LOWEST","Counterfactual","25"
"2","Freshwater
Reptiles and amphibians
Frogs","HIGHEST","Counterfactual","75"
"2","Freshwater
Reptiles and amphibians
Frogs","BEST GUESS","Counterfactual","50"
"2","Freshwater
Reptiles and amphibians
Salamanders","LOWEST","Counterfactual","25"
"2","Freshwater
Reptiles and amphibians
Salamanders","HIGHEST","Counterfactual","75"
"2","Freshwater
Reptiles and amphibians
Salamanders","BEST GUESS","Counterfactual","50"
"2","Freshwater
Birds
Carnivore","LOWEST","Counterfactual","50"
"2","Freshwater
Birds
Carnivore","HIGHEST","Counterfactual","80"
"2","Freshwater
Birds
Carnivore","BEST GUESS","Counterfactual","75"
"2","Freshwater
Birds
Omnivore","LOWEST","Counterfactual","50"
"2","Freshwater
Birds
Omnivore","HIGHEST","Counterfactual","80"
"2","Freshwater
Birds
Omnivore","BEST GUESS","Counterfactual","75"
"2","Freshwater
Birds
Insectivore/invertivore","LOWEST","Counterfactual","50"
"2","Freshwater
Birds
Insectivore/invertivore","HIGHEST","Counterfactual","80"
"2","Freshwater
Birds
Insectivore/invertivore","BEST GUESS","Counterfactual","75"
"2","Freshwater
Birds
Herbivore/granivore","LOWEST","Counterfactual","50"
"2","Freshwater
Birds
Herbivore/granivore","HIGHEST","Counterfactual","80"
"2","Freshwater
Birds
Herbivore/granivore","BEST GUESS","Counterfactual","75"
"2","Freshwater
Mammals
Carnivore, omnivore","LOWEST","Counterfactual","50"
"2","Freshwater
Mammals
Carnivore, omnivore","HIGHEST","Counterfactual","80"
"2","Freshwater
Mammals
Carnivore, omnivore","BEST GUESS","Counterfactual","75"
"2","Freshwater
Mammals
Herbivore","LOWEST","Counterfactual","50"
"2","Freshwater
Mammals
Herbivore","HIGHEST","Counterfactual","80"
"2","Freshwater
Mammals
Herbivore","BEST GUESS","Counterfactual","75"
"2","Freshwater
Vascular plants
Herbaceous","LOWEST","Counterfactual","25"
"2","Freshwater
Vascular plants
Herbaceous","HIGHEST","Counterfactual","75"
"2","Freshwater
Vascular plants
Herbaceous","BEST GUESS","Counterfactual","50"
"2","Freshwater
Vascular plants
Woody","LOWEST","Counterfactual","25"
"2","Freshwater
Vascular plants
Woody","HIGHEST","Counterfactual","75"
"2","Freshwater
Vascular plants
Woody","BEST GUESS","Counterfactual","50"
"2","Wetland
Fish
Large predators","LOWEST","Counterfactual","25"
"2","Wetland
Fish
Large predators","HIGHEST","Counterfactual","75"
"2","Wetland
Fish
Large predators","BEST GUESS","Counterfactual","50"
"2","Wetland
Fish
Small-medium predators","LOWEST","Counterfactual","25"
"2","Wetland
Fish
Small-medium predators","HIGHEST","Counterfactual","75"
"2","Wetland
Fish
Small-medium predators","BEST GUESS","Counterfactual","50"
"2","Wetland
Reptiles and amphibians
Snakes and lizards","LOWEST","Counterfactual","50"
"2","Wetland
Reptiles and amphibians
Snakes and lizards","HIGHEST","Counterfactual","80"
"2","Wetland
Reptiles and amphibians
Snakes and lizards","BEST GUESS","Counterfactual","75"
"2","Wetland
Reptiles and amphibians
Frogs","LOWEST","Counterfactual","25"
"2","Wetland
Reptiles and amphibians
Frogs","HIGHEST","Counterfactual","75"
"2","Wetland
Reptiles and amphibians
Frogs","BEST GUESS","Counterfactual","50"
"2","Wetland
Reptiles and amphibians
Salamanders","LOWEST","Counterfactual","25"
"2","Wetland
Reptiles and amphibians
Salamanders","HIGHEST","Counterfactual","75"
