"Expert","Biodiversity","Estimate","Scenario","Value"
"1","Bull Trout","LOWEST","Counterfactual",NA
"1","Bull Trout","HIGHEST","Counterfactual",NA
"1","Bull Trout","BEST GUESS","Counterfactual",NA
"1","Rainbow Trout","LOWEST","Counterfactual",NA
"1","Rainbow Trout","HIGHEST","Counterfactual",NA
"1","Rainbow Trout","BEST GUESS","Counterfactual",NA
"1","Western Toad","LOWEST","Counterfactual",NA
"1","Western Toad","HIGHEST","Counterfactual",NA
"1","Western Toad","BEST GUESS","Counterfactual",NA
"1","Barn Swallow","LOWEST","Counterfactual",NA
"1","Barn Swallow","HIGHEST","Counterfactual",NA
"1","Barn Swallow","BEST GUESS","Counterfactual",NA
"1","Olive-sided Flycatcher","LOWEST","Counterfactual",NA
"1","Olive-sided Flycatcher","HIGHEST","Counterfactual",NA
"1","Olive-sided Flycatcher","BEST GUESS","Counterfactual",NA
"1","Common Nighthawk","LOWEST","Counterfactual",NA
"1","Common Nighthawk","HIGHEST","Counterfactual",NA
"1","Common Nighthawk","BEST GUESS","Counterfactual",NA
"1","Short-eared Owl","LOWEST","Counterfactual",NA
"1","Short-eared Owl","HIGHEST","Counterfactual",NA
"1","Short-eared Owl","BEST GUESS","Counterfactual",NA
"1","Harris's Sparrow","LOWEST","Counterfactual",NA
"1","Harris's Sparrow","HIGHEST","Counterfactual",NA
"1","Harris's Sparrow","BEST GUESS","Counterfactual",NA
"1","Bank Swallow","LOWEST","Counterfactual",NA
"1","Bank Swallow","HIGHEST","Counterfactual",NA
"1","Bank Swallow","BEST GUESS","Counterfactual",NA
"1","Rusty Blackbird","LOWEST","Counterfactual",NA
"1","Rusty Blackbird","HIGHEST","Counterfactual",NA
"1","Rusty Blackbird","BEST GUESS","Counterfactual",NA
"1","Northern Myotis","LOWEST","Counterfactual",NA
"1","Northern Myotis","HIGHEST","Counterfactual",NA
"1","Northern Myotis","BEST GUESS","Counterfactual",NA
"1","Little Brown Myotis","LOWEST","Counterfactual",NA
"1","Little Brown Myotis","HIGHEST","Counterfactual",NA
"1","Little Brown Myotis","BEST GUESS","Counterfactual",NA
"1","Wolverine","LOWEST","Counterfactual",NA
"1","Wolverine","HIGHEST","Counterfactual",NA
"1","Wolverine","BEST GUESS","Counterfactual",NA
"1","Grizzly Bear","LOWEST","Counterfactual",NA
"1","Grizzly Bear","HIGHEST","Counterfactual",NA
"1","Grizzly Bear","BEST GUESS","Counterfactual",NA
"1","Transverse Lady Beetle","LOWEST","Counterfactual",NA
"1","Transverse Lady Beetle","HIGHEST","Counterfactual",NA
"1","Transverse Lady Beetle","BEST GUESS","Counterfactual",NA
"1","Ashton (Gypsy) Cuckoo Bumble Bee","LOWEST","Counterfactual",NA
"1","Ashton (Gypsy) Cuckoo Bumble Bee","HIGHEST","Counterfactual",NA
"1","Ashton (Gypsy) Cuckoo Bumble Bee","BEST GUESS","Counterfactual",NA
"1","Suckley's Cuckoo Bumble Bee","LOWEST","Counterfactual",NA
"1","Suckley's Cuckoo Bumble Bee","HIGHEST","Counterfactual",NA
"1","Suckley's Cuckoo Bumble Bee","BEST GUESS","Counterfactual",NA
"1","Western Bumble Bee","LOWEST","Counterfactual",NA
"1","Western Bumble Bee","HIGHEST","Counterfactual",NA
"1","Western Bumble Bee","BEST GUESS","Counterfactual",NA
"1","Yellow-banded Bumble Bee","LOWEST","Counterfactual",NA
"1","Yellow-banded Bumble Bee","HIGHEST","Counterfactual",NA
"1","Yellow-banded Bumble Bee","BEST GUESS","Counterfactual",NA
"1","Porsild's Bryum","LOWEST","Counterfactual","65"
"1","Porsild's Bryum","HIGHEST","Counterfactual","75"
"1","Porsild's Bryum","BEST GUESS","Counterfactual","70"
"1","Evening Grosbeak","LOWEST","Counterfactual",NA
"1","Evening Grosbeak","HIGHEST","Counterfactual",NA
"1","Evening Grosbeak","BEST GUESS","Counterfactual",NA
"2","Bull Trout","LOWEST","Counterfactual","15"
"2","Bull Trout","HIGHEST","Counterfactual","50"
"2","Bull Trout","BEST GUESS","Counterfactual","25"
"2","Rainbow Trout","LOWEST","Counterfactual","15"
"2","Rainbow Trout","HIGHEST","Counterfactual","50"
"2","Rainbow Trout","BEST GUESS","Counterfactual","25"
"2","Western Toad","LOWEST","Counterfactual","25"
"2","Western Toad","HIGHEST","Counterfactual","75"
"2","Western Toad","BEST GUESS","Counterfactual","50"
"2","Barn Swallow","LOWEST","Counterfactual","50"
"2","Barn Swallow","HIGHEST","Counterfactual","80"
"2","Barn Swallow","BEST GUESS","Counterfactual","75"
"2","Olive-sided Flycatcher","LOWEST","Counterfactual","50"
"2","Olive-sided Flycatcher","HIGHEST","Counterfactual","80"
"2","Olive-sided Flycatcher","BEST GUESS","Counterfactual","75"
"2","Common Nighthawk","LOWEST","Counterfactual","50"
"2","Common Nighthawk","HIGHEST","Counterfactual","80"
"2","Common Nighthawk","BEST GUESS","Counterfactual","75"
"2","Short-eared Owl","LOWEST","Counterfactual","50"
"2","Short-eared Owl","HIGHEST","Counterfactual","80"
"2","Short-eared Owl","BEST GUESS","Counterfactual","75"
"2","Harris's Sparrow","LOWEST","Counterfactual","50"
"2","Harris's Sparrow","HIGHEST","Counterfactual","80"
"2","Harris's Sparrow","BEST GUESS","Counterfactual","75"
"2","Bank Swallow","LOWEST","Counterfactual","50"
"2","Bank Swallow","HIGHEST","Counterfactual","80"
"2","Bank Swallow","BEST GUESS","Counterfactual","75"
"2","Rusty Blackbird","LOWEST","Counterfactual","50"
"2","Rusty Blackbird","HIGHEST","Counterfactual","80"
"2","Rusty Blackbird","BEST GUESS","Counterfactual","75"
"2","Northern Myotis","LOWEST","Counterfactual","50"
"2","Northern Myotis","HIGHEST","Counterfactual","80"
"2","Northern Myotis","BEST GUESS","Counterfactual","75"
"2","Little Brown Myotis","LOWEST","Counterfactual","50"
"2","Little Brown Myotis","HIGHEST","Counterfactual","80"
"2","Little Brown Myotis","BEST GUESS","Counterfactual","75"
"2","Wolverine","LOWEST","Counterfactual","50"
"2","Wolverine","HIGHEST","Counterfactual","80"
"2","Wolverine","BEST GUESS","Counterfactual","75"
"2","Grizzly Bear","LOWEST","Counterfactual","50"
"2","Grizzly Bear","HIGHEST","Counterfactual","80"
"2","Grizzly Bear","BEST GUESS","Counterfactual","75"
"2","Transverse Lady Beetle","LOWEST","Counterfactual","50"
"2","Transverse Lady Beetle","HIGHEST","Counterfactual","80"
"2","Transverse Lady Beetle","BEST GUESS","Counterfactual","75"
"2","Ashton (Gypsy) Cuckoo Bumble Bee","LOWEST","Counterfactual","50"
"2","Ashton (Gypsy) Cuckoo Bumble Bee","HIGHEST","Counterfactual","80"
"2","Ashton (Gypsy) Cuckoo Bumble Bee","BEST GUESS","Counterfactual","75"
"2","Suckley's Cuckoo Bumble Bee","LOWEST","Counterfactual","50"
"2","Suckley's Cuckoo Bumble Bee","HIGHEST","Counterfactual","80"
"2","Suckley's Cuckoo Bumble Bee","BEST GUESS","Counterfactual","75"
"2","Western Bumble Bee","LOWEST","Counterfactual","50"
"2","Western Bumble Bee","HIGHEST","Counterfactual","80"
"2","Western Bumble Bee","BEST GUESS","Counterfactual","75"
"2","Yellow-banded Bumble Bee","LOWEST","Counterfactual","50"
"2","Yellow-banded Bumble Bee","HIGHEST","Counterfactual","80"
"2","Yellow-banded Bumble Bee","BEST GUESS","Counterfactual","75"
"2","Porsild's Bryum","LOWEST","Counterfactual","50"
"2","Porsild's Bryum","HIGHEST","Counterfactual","80"
"2","Porsild's Bryum","BEST GUESS","Counterfactual","75"
"2","Evening Grosbeak","LOWEST","Counterfactual",NA
"2","Evening Grosbeak","HIGHEST","Counterfactual",NA
"2","Evening Grosbeak","BEST GUESS","Counterfactual",NA
"3","Bull Trout","LOWEST","Counterfactual","20"
"3","Bull Trout","HIGHEST","Counterfactual","50"
"3","Bull Trout","BEST GUESS","Counterfactual","20"
"3","Rainbow Trout","LOWEST","Counterfactual",NA
"3","Rainbow Trout","HIGHEST","Counterfactual",NA
"3","Rainbow Trout","BEST GUESS","Counterfactual",NA
"3","Western Toad","LOWEST","Counterfactual",NA
"3","Western Toad","HIGHEST","Counterfactual",NA
"3","Western Toad","BEST GUESS","Counterfactual",NA
"3","Barn Swallow","LOWEST","Counterfactual",NA
"3","Barn Swallow","HIGHEST","Counterfactual",NA
"3","Barn Swallow","BEST GUESS","Counterfactual",NA
"3","Olive-sided Flycatcher","LOWEST","Counterfactual",NA
"3","Olive-sided Flycatcher","HIGHEST","Counterfactual",NA
"3","Olive-sided Flycatcher","BEST GUESS","Counterfactual",NA
"3","Common Nighthawk","LOWEST","Counterfactual",NA
"3","Common Nighthawk","HIGHEST","Counterfactual",NA
"3","Common Nighthawk","BEST GUESS","Counterfactual",NA
"3","Short-eared Owl","LOWEST","Counterfactual",NA
"3","Short-eared Owl","HIGHEST","Counterfactual",NA
"3","Short-eared Owl","BEST GUESS","Counterfactual",NA
"3","Harris's Sparrow","LOWEST","Counterfactual",NA
"3","Harris's Sparrow","HIGHEST","Counterfactual",NA
"3","Harris's Sparrow","BEST GUESS","Counterfactual",NA
"3","Bank Swallow","LOWEST","Counterfactual",NA
"3","Bank Swallow","HIGHEST","Counterfactual",NA
"3","Bank Swallow","BEST GUESS","Counterfactual",NA
"3","Rusty Blackbird","LOWEST","Counterfactual",NA
"3","Rusty Blackbird","HIGHEST","Counterfactual",NA
"3","Rusty Blackbird","BEST GUESS","Counterfactual",NA
"3","Northern Myotis","LOWEST","Counterfactual",NA
"3","Northern Myotis","HIGHEST","Counterfactual",NA
"3","Northern Myotis","BEST GUESS","Counterfactual",NA
"3","Little Brown Myotis","LOWEST","Counterfactual",NA
"3","Little Brown Myotis","HIGHEST","Counterfactual",NA
"3","Little Brown Myotis","BEST GUESS","Counterfactual",NA
"3","Wolverine","LOWEST","Counterfactual",NA
"3","Wolverine","HIGHEST","Counterfactual",NA
"3","Wolverine","BEST GUESS","Counterfactual",NA
"3","Grizzly Bear","LOWEST","Counterfactual",NA
"3","Grizzly Bear","HIGHEST","Counterfactual",NA
"3","Grizzly Bear","BEST GUESS","Counterfactual",NA
"3","Transverse Lady Beetle","LOWEST","Counterfactual",NA
"3","Transverse Lady Beetle","HIGHEST","Counterfactual",NA
"3","Transverse Lady Beetle","BEST GUESS","Counterfactual",NA
"3","Ashton (Gypsy) Cuckoo Bumble Bee","LOWEST","Counterfactual",NA
"3","Ashton (Gypsy) Cuckoo Bumble Bee","HIGHEST","Counterfactual",NA
"3","Ashton (Gypsy) Cuckoo Bumble Bee","BEST GUESS","Counterfactual",NA
"3","Suckley's Cuckoo Bumble Bee","LOWEST","Counterfactual",NA
"3","Suckley's Cuckoo Bumble Bee","HIGHEST","Counterfactual",NA
"3","Suckley's Cuckoo Bumble Bee","BEST GUESS","Counterfactual",NA
"3","Western Bumble Bee","LOWEST","Counterfactual",NA
"3","Western Bumble Bee","HIGHEST","Counterfactual",NA
"3","Western Bumble Bee","BEST GUESS","Counterfactual",NA
"3","Yellow-banded Bumble Bee","LOWEST","Counterfactual",NA
"3","Yellow-banded Bumble Bee","HIGHEST","Counterfactual",NA
"3","Yellow-banded Bumble Bee","BEST GUESS","Counterfactual",NA
"3","Porsild's Bryum","LOWEST","Counterfactual",NA
"3","Porsild's Bryum","HIGHEST","Counterfactual",NA
"3","Porsild's Bryum","BEST GUESS","Counterfactual",NA
"3","Evening Grosbeak","LOWEST","Counterfactual",NA
"3","Evening Grosbeak","HIGHEST","Counterfactual",NA
"3","Evening Grosbeak","BEST GUESS","Counterfactual",NA
"4","Bull Trout","LOWEST","Counterfactual","25"
"4","Bull Trout","HIGHEST","Counterfactual","75"
"4","Bull Trout","BEST GUESS","Counterfactual","50"
"4","Rainbow Trout","LOWEST","Counterfactual","B"
"4","Rainbow Trout","HIGHEST","Counterfactual","B"
"4","Rainbow Trout","BEST GUESS","Counterfactual","B"
"4","Western Toad","LOWEST","Counterfactual",NA
"4","Western Toad","HIGHEST","Counterfactual",NA
"4","Western Toad","BEST GUESS","Counterfactual",NA
"4","Barn Swallow","LOWEST","Counterfactual",NA
"4","Barn Swallow","HIGHEST","Counterfactual",NA
"4","Barn Swallow","BEST GUESS","Counterfactual",NA
"4","Olive-sided Flycatcher","LOWEST","Counterfactual",NA
"4","Olive-sided Flycatcher","HIGHEST","Counterfactual",NA
"4","Olive-sided Flycatcher","BEST GUESS","Counterfactual",NA
"4","Common Nighthawk","LOWEST","Counterfactual",NA
"4","Common Nighthawk","HIGHEST","Counterfactual",NA
"4","Common Nighthawk","BEST GUESS","Counterfactual",NA
"4","Short-eared Owl","LOWEST","Counterfactual",NA
"4","Short-eared Owl","HIGHEST","Counterfactual",NA
"4","Short-eared Owl","BEST GUESS","Counterfactual",NA
"4","Harris's Sparrow","LOWEST","Counterfactual",NA
"4","Harris's Sparrow","HIGHEST","Counterfactual",NA
